Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2015,    03,  08,     14.219,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150308_f17_nrt_n.bin
2015,    03,  09,     14.248,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150309_f17_nrt_n.bin
2015,    03,  10,     14.300,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150310_f17_nrt_n.bin
2015,    03,  11,     14.329,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150311_f17_nrt_n.bin
2015,    03,  12,     14.333,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150312_f17_nrt_n.bin
2015,    03,  13,     14.314,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150313_f17_nrt_n.bin
2015,    03,  14,     14.314,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150314_f17_nrt_n.bin
2015,    03,  15,     14.377,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150315_f17_nrt_n.bin
2015,    03,  16,     14.428,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150316_f17_nrt_n.bin
2015,    03,  17,     14.299,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150317_f17_nrt_n.bin
2015,    03,  18,     14.322,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150318_f17_nrt_n.bin
2015,    03,  19,     14.400,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150319_f17_nrt_n.bin
2015,    03,  20,     14.355,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150320_f17_nrt_n.bin
2015,    03,  21,     14.331,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150321_f17_nrt_n.bin
2015,    03,  22,     14.457,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150322_f17_nrt_n.bin
2015,    03,  23,     14.506,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150323_f17_nrt_n.bin
2015,    03,  24,     14.367,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150324_f17_nrt_n.bin
2015,    03,  25,     14.440,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150325_f17_nrt_n.bin
2015,    03,  26,     14.497,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150326_f17_nrt_n.bin
2015,    03,  27,     14.451,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150327_f17_nrt_n.bin
2015,    03,  28,     14.351,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150328_f17_nrt_n.bin
2015,    03,  29,     14.362,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150329_f17_nrt_n.bin
